CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000400,5/31/2022,3/31/2021,5712000
A00000162,4/30/2021,9/30/2018,159000
A00001416,5/31/2023,6/30/2021,8339000
A00000346,9/30/2021,7/31/2020,86000
A00002429,5/31/2023,3/31/2023,13000
A00001445,11/30/2022,10/31/2021,2635000
A00001478,3/31/2023,1/31/2022,56000
A00001484,2/28/2023,1/31/2022,5000
A00000083,12/31/2022,3/31/2018,11000
A00000180,12/31/2021,11/30/2018,1518000
A00000072,6/30/2022,1/31/2018,655000
A00000333,4/30/2021,4/30/2020,73000
A00001425,7/31/2022,8/31/2021,13000
A00000346,3/31/2023,7/31/2020,117000
A00000405,3/31/2022,3/31/2021,58000
A00000215,12/31/2022,2/28/2019,1116000
A00000339,2/28/2023,6/30/2020,110000
A00001422,7/31/2022,8/31/2021,16000
A00000162,4/30/2022,9/30/2018,154000
A00001505,7/31/2022,2/28/2022,1324000
A00001470,4/30/2023,1/31/2022,604000
A00001477,1/31/2022,1/31/2022,7000
A00001397,5/31/2021,5/31/2021,112000
A00001608,5/31/2023,8/31/2022,197000
A00000382,8/31/2022,1/31/2021,450000
A00000412,3/31/2022,6/30/2021,217000
A00001452,10/31/2022,3/31/2022,135000
A00001406,2/28/2022,8/31/2021,360000
A00000379,7/31/2022,1/31/2021,103000
A00001557,4/30/2023,7/31/2022,1000
A00000274,7/31/2021,10/31/2019,794000
A00000390,9/30/2022,2/28/2021,6000
A00000374,2/28/2023,11/30/2020,23000
A00000355,3/31/2023,9/30/2020,16454000
A00001480,10/31/2022,1/31/2022,526000
A00001496,3/31/2022,2/28/2022,24000
A00001412,11/30/2021,7/31/2021,11000
A00000005,8/31/2022,1/31/2018,11406000
A00000148,12/31/2022,7/31/2018,25103000
A00000421,5/31/2021,5/31/2021,142000
A00000303,11/30/2021,3/31/2020,993000
A00001484,5/31/2022,1/31/2022,17000
A00001445,8/31/2022,10/31/2021,6063000
A00000285,2/28/2023,11/30/2019,305000
A00000385,6/30/2021,1/31/2021,522000
A00001422,4/30/2023,8/31/2021,12000
A00001420,3/31/2023,8/31/2021,939000
A00000385,12/31/2021,1/31/2021,1594000
A00000400,3/31/2021,3/31/2021,5000
A00001592,10/31/2022,7/31/2022,31000
A00000378,8/31/2021,12/31/2020,2000
A00000379,5/31/2023,1/31/2021,63000
A00000251,10/31/2022,7/31/2019,1268000
A00000390,4/30/2021,2/28/2021,6000
A00000390,1/31/2023,2/28/2021,15000
A00001566,8/31/2022,6/30/2022,181000
A00000006,9/30/2022,1/31/2018,643000
A00000400,11/30/2022,3/31/2021,3736000
A00001544,2/28/2023,4/30/2022,47167000
A00000150,3/31/2022,7/31/2018,990000
A00000305,3/31/2021,7/31/2020,387000
A00000385,11/30/2022,1/31/2021,824000
A00000230,2/28/2023,1/31/2018,6625000
A00001422,11/30/2021,8/31/2021,20000
A00001478,2/28/2022,1/31/2022,6000
A00000346,4/30/2023,7/31/2020,26000
A00001415,5/31/2022,8/31/2021,7345000
A00001515,6/30/2022,3/31/2022,4000
A00000346,6/30/2022,7/31/2020,50000
A00001573,9/30/2022,6/30/2022,38000
A00000385,7/31/2021,1/31/2021,743000
A00001408,7/31/2022,7/31/2021,28000
A00000303,5/31/2022,3/31/2020,593000
A00000406,11/30/2021,3/31/2021,148000
A00000219,11/30/2022,1/31/2019,19000
A00000305,11/30/2022,7/31/2020,177000
A00000206,3/31/2022,6/30/2018,2169000
A00001454,7/31/2022,11/30/2021,4000
A00000212,1/31/2022,10/31/2019,5846000
A00000412,4/30/2022,6/30/2021,187000
A00001445,11/30/2021,10/31/2021,7655000
A00000072,12/31/2022,1/31/2018,734000
A00001573,11/30/2022,6/30/2022,31000
A00000421,5/31/2022,5/31/2021,110000
A00000274,8/31/2022,10/31/2019,2229000
A00000379,7/31/2021,1/31/2021,24000
A00000326,8/31/2021,4/30/2020,3000
A00001397,11/30/2021,5/31/2021,6000
A00001416,8/31/2022,6/30/2021,2249000
A00001400,2/28/2022,6/30/2021,426000
A00000124,6/30/2022,1/31/2018,141000
A00000377,8/31/2022,1/31/2021,3000
A00001394,12/31/2021,5/31/2021,460000
