Customer Cohort Month,Month,Volume
2/28/2019,3/31/2023,1000
5/31/2021,9/30/2021,7000
1/31/2021,12/31/2022,350000
5/31/2022,11/30/2022,130000
8/31/2019,6/30/2021,3000
5/31/2020,8/31/2020,766000
4/30/2019,11/30/2022,52000
7/31/2019,1/31/2022,461000
7/31/2019,9/30/2019,78000
4/30/2020,10/31/2021,686000
9/30/2022,3/31/2023,14000
7/31/2018,8/31/2022,10062000
10/31/2019,1/31/2020,6728000
6/30/2018,6/30/2022,5000
6/30/2018,7/31/2018,294000
7/31/2018,1/31/2019,10878000
8/31/2021,12/31/2022,533000
4/30/2021,12/31/2021,611000
1/31/2020,9/30/2021,333000
3/31/2018,10/31/2018,4000
6/30/2019,4/30/2020,41000
2/28/2019,4/30/2019,7804000
5/31/2019,5/31/2023,1330000
4/30/2020,9/30/2022,25000
3/31/2020,4/30/2021,65000
3/31/2018,8/31/2019,35000
5/31/2022,5/31/2023,9000
1/31/2019,6/30/2020,174000
12/31/2019,5/31/2021,805000
3/31/2018,7/31/2018,9000
11/30/2020,4/30/2022,117000
12/31/2019,7/31/2020,276000
3/31/2019,2/28/2023,1035000
7/31/2020,3/31/2023,215000
7/31/2022,9/30/2022,38000
5/31/2021,10/31/2022,78000
3/31/2018,11/30/2018,1000
11/30/2022,3/31/2023,365000
4/30/2019,3/31/2022,1015000
4/30/2018,4/30/2019,1000
1/31/2022,8/31/2022,96000
7/31/2021,12/31/2022,199000
10/31/2019,8/31/2020,4054000
2/28/2019,11/30/2019,17290000
10/31/2021,5/31/2023,26000
1/31/2018,5/31/2020,19584000
5/31/2021,1/31/2022,40000
6/30/2019,1/31/2022,708000
7/31/2019,1/31/2020,128000
11/30/2019,8/31/2022,14040000
11/30/2018,7/31/2019,141000
3/31/2019,5/31/2020,43000
1/31/2019,6/30/2022,2000
9/30/2018,2/28/2023,8000
7/31/2018,4/30/2022,5802000
12/31/2022,3/31/2023,2000
1/31/2022,1/31/2023,82000
4/30/2019,9/30/2020,151000
3/31/2018,3/31/2019,38000
4/30/2018,9/30/2019,3000
12/31/2018,1/31/2023,4606000
9/30/2021,12/31/2022,151000
5/31/2020,4/30/2021,1121000
9/30/2018,8/31/2022,15000
4/30/2020,1/31/2022,684000
4/30/2019,11/30/2021,635000
5/31/2020,1/31/2023,1585000
4/30/2019,2/28/2023,29000
11/30/2019,2/28/2021,21581000
2/28/2019,2/28/2022,177000
5/31/2018,11/30/2018,3000
12/31/2019,8/31/2020,251000
10/31/2018,10/31/2018,80000
4/30/2021,10/31/2021,497000
11/30/2018,5/31/2020,1000
6/30/2018,10/31/2021,1000
4/30/2023,5/31/2023,20000
10/31/2018,12/31/2020,66000
8/31/2018,9/30/2020,491000
2/28/2022,1/31/2023,735000
2/28/2018,7/31/2020,407000
4/30/2019,5/31/2022,34000
6/30/2020,6/30/2022,1000
5/31/2018,9/30/2019,3000
2/29/2020,12/31/2021,37000
11/30/2020,1/31/2023,387000
2/28/2021,5/31/2021,108000
8/31/2022,9/30/2022,64000
11/30/2019,7/31/2020,13839000
8/31/2019,8/31/2020,615000
6/30/2018,7/31/2020,1798000
11/30/2021,7/31/2022,46000
10/31/2018,9/30/2020,29000
3/31/2021,6/30/2022,69000
12/31/2021,5/31/2022,49000
4/30/2018,9/30/2021,1000
4/30/2022,6/30/2022,71000
7/31/2019,12/31/2020,641000
2/28/2019,2/29/2020,19064000
2/29/2020,4/30/2023,4000
1/31/2020,9/30/2022,52000
3/31/2018,7/31/2021,10000
1/31/2019,9/30/2022,1000
1/31/2018,12/31/2019,29695000
2/28/2022,4/30/2022,27000
7/31/2019,5/31/2023,389000
4/30/2018,6/30/2022,3000
8/31/2019,9/30/2022,2000
6/30/2021,6/30/2021,40000
6/30/2018,9/30/2022,5000
2/28/2022,10/31/2022,43000
4/30/2020,7/31/2022,22000
1/31/2019,2/28/2023,3000
5/31/2018,6/30/2019,6000
1/31/2019,11/30/2019,3495000
1/31/2022,5/31/2022,62000
12/31/2018,9/30/2020,2034000
11/30/2021,12/31/2021,185000
7/31/2019,5/31/2021,148000
3/31/2018,9/30/2021,22000
1/31/2020,2/28/2023,683000
9/30/2019,9/30/2021,42000
8/31/2021,11/30/2021,31000
6/30/2020,11/30/2020,33000
