CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000289,9/30/2020,12/31/2019,215000
A00001707,2/28/2023,1/31/2023,3000
A00000239,2/28/2022,3/31/2019,922000
A00001416,11/30/2021,6/30/2021,2000
A00000254,3/31/2022,3/31/2018,5000
A00001436,10/31/2022,9/30/2021,182000
A00000025,8/31/2020,1/31/2018,1000
A00000096,10/31/2022,1/31/2018,709000
A00000239,10/31/2020,3/31/2019,284000
A00000154,4/30/2021,8/31/2018,808000
A00000330,5/31/2020,4/30/2020,5000
A00000105,8/31/2022,1/31/2018,1000
A00000293,7/31/2020,12/31/2019,2000
A00001409,10/31/2021,7/31/2021,74000
A00000233,6/30/2019,4/30/2019,2000
A00000406,9/30/2022,3/31/2021,12000
A00001523,11/30/2022,9/30/2022,565000
A00001419,5/31/2022,7/31/2021,542000
A00000133,3/31/2019,5/31/2018,3000
A00000142,2/28/2023,2/28/2018,275000
A00000063,1/31/2019,1/31/2018,3050000
A00000211,4/30/2020,5/31/2019,194000
A00000044,8/31/2022,1/31/2018,3000
A00000255,12/31/2021,7/31/2019,276000
A00000194,1/31/2020,3/31/2019,1000
A00000107,5/31/2021,1/31/2018,13000
A00000333,12/31/2020,4/30/2020,76000
A00000063,4/30/2019,1/31/2018,2806000
A00000260,10/31/2022,4/30/2019,1000
A00000199,2/28/2019,2/28/2019,730000
A00001462,7/31/2022,11/30/2021,7000
A00001523,4/30/2023,9/30/2022,4000
A00000067,5/31/2018,3/31/2018,1000
A00000198,2/28/2021,1/31/2019,1000
