Customer Cohort Month,Month,Volume
5/31/2019,6/30/2022,11485000
8/31/2019,9/30/2021,437000
2/28/2023,2/28/2023,560000
6/30/2021,9/30/2022,2551000
3/31/2022,5/31/2023,199000
7/31/2020,1/31/2023,108000
4/30/2021,8/31/2021,57000
2/29/2020,7/31/2022,342000
10/31/2021,2/28/2022,10011000
3/31/2022,3/31/2023,107000
10/31/2019,10/31/2021,5756000
10/31/2021,6/30/2022,5582000
7/31/2020,2/28/2022,527000
1/31/2021,8/31/2021,890000
2/28/2022,2/28/2023,232000
11/30/2019,12/31/2022,260000
1/31/2018,11/30/2021,4866000
5/31/2022,10/31/2022,89000
8/31/2021,5/31/2023,2007000
6/30/2020,9/30/2021,2593000
4/30/2021,4/30/2022,313000
5/31/2022,7/31/2022,25000
5/31/2021,11/30/2022,3588000
3/31/2019,6/30/2022,1896000
5/31/2021,9/30/2022,2397000
12/31/2021,3/31/2023,19000
7/31/2021,8/31/2021,37000
12/31/2019,3/31/2023,482000
3/31/2020,11/30/2021,993000
11/30/2018,3/31/2021,933000
1/31/2021,1/31/2023,2292000
3/31/2020,6/30/2022,444000
7/31/2021,10/31/2021,60000
8/31/2018,5/31/2023,265000
1/31/2018,4/30/2023,8792000
9/30/2018,2/28/2022,116000
2/28/2021,7/31/2022,248000
4/30/2021,3/31/2022,313000
10/31/2021,10/31/2021,76000
1/31/2021,12/31/2021,3338000
5/31/2019,3/31/2022,9052000
8/31/2018,3/31/2022,616000
3/31/2021,2/28/2022,3212000
12/31/2021,9/30/2022,17000
6/30/2020,1/31/2022,2500000
12/31/2019,10/31/2021,32000
2/28/2019,4/30/2023,1914000
8/31/2019,4/30/2023,110000
2/28/2022,8/31/2022,983000
3/31/2021,5/31/2023,4386000
10/31/2021,11/30/2022,2646000
6/30/2021,8/31/2021,327000
12/31/2018,9/30/2021,5119000
9/30/2018,3/31/2022,176000
9/30/2021,2/28/2022,1000
4/30/2022,9/30/2022,85735000
11/30/2019,4/30/2023,93000
9/30/2020,2/28/2022,1004000
8/31/2018,11/30/2021,209000
7/31/2018,11/30/2021,13666000
4/30/2020,11/30/2022,144567000
7/31/2018,4/30/2023,2803000
8/31/2018,8/31/2021,129000
10/31/2020,7/31/2022,34942000
12/31/2020,12/31/2022,4166000
6/30/2021,1/31/2022,653000
9/30/2020,6/30/2021,182000
3/31/2021,3/31/2021,40000
9/30/2020,12/31/2022,7941000
1/31/2022,4/30/2023,850000
11/30/2019,12/31/2021,447000
10/31/2022,12/31/2022,664000
2/28/2021,5/31/2023,12000
1/31/2021,4/30/2021,209000
10/31/2018,9/30/2022,2341000
6/30/2020,6/30/2021,2632000
3/31/2022,7/31/2022,252000
1/31/2018,10/31/2022,32751000
10/31/2020,5/31/2023,15984000
9/30/2020,3/31/2022,2280000
12/31/2018,1/31/2022,6582000
4/30/2019,4/30/2022,11254000
7/31/2020,7/31/2021,489000
2/29/2020,6/30/2021,205000
12/31/2020,1/31/2022,4352000
4/30/2019,4/30/2023,687000
4/30/2019,12/31/2022,3358000
1/31/2021,3/31/2022,4177000
10/31/2020,4/30/2023,7579000
1/31/2018,1/31/2022,5950000
7/31/2020,8/31/2022,387000
12/31/2020,10/31/2022,4529000
3/31/2021,4/30/2022,4881000
2/28/2021,12/31/2022,7000
7/31/2019,7/31/2021,474000
6/30/2018,7/31/2022,4206000
9/30/2020,9/30/2022,5873000
1/31/2018,3/31/2021,146000
10/31/2018,5/31/2021,868000
12/31/2020,4/30/2021,2187000
11/30/2020,8/31/2021,100000
2/29/2020,6/30/2022,396000
4/30/2021,7/31/2021,2333000
11/30/2018,7/31/2021,1349000
4/30/2021,10/31/2022,236000
7/31/2020,8/31/2021,563000
1/31/2022,7/31/2022,2123000
11/30/2021,6/30/2022,7108000
5/31/2019,9/30/2022,7627000
6/30/2018,9/30/2021,2530000
10/31/2021,8/31/2022,6066000
3/31/2020,10/31/2021,1175000
12/31/2019,9/30/2021,32000
7/31/2020,2/28/2023,135000
7/31/2018,11/30/2022,27324000
6/30/2020,7/31/2021,3402000
1/31/2022,1/31/2022,1279000
3/31/2019,7/31/2022,1803000
10/31/2022,10/31/2022,349000
10/31/2018,11/30/2022,2663000
5/31/2021,7/31/2022,2542000
4/30/2020,6/30/2021,176093000
3/31/2019,1/31/2023,1449000
10/31/2019,7/31/2021,8434000
12/31/2018,5/31/2023,761000
